n,trial,seed,k,m,oracle_time_sec,integrated_time_sec,speedup_vs_oracle,objective_error,relative_gap,converged,simplex_residual,exposure_violation,outer_iterations,inner_iterations,breakpoint_events
3200,2,3220260706,160,8,61.621921099955216,14.067455099895597,4.380459767766563,1.3032563916937079e-09,1.3032563916937079e-09,True,9.547918011776346e-15,0.0,3,157,166204
3200,3,3220260707,160,8,65.09991370001808,16.515596400015056,3.941723454804135,4.1298242603460267e-10,4.1298242603460267e-10,True,4.551914400963142e-15,0.0,3,227,168697
3200,4,3220260708,160,8,60.794759900076315,20.67948119994253,2.9398590473461814,1.452310632865661e-10,1.452310632865661e-10,True,2.220446049250313e-16,0.0,3,236,253694
3200,5,3220260709,160,8,59.81917150015943,21.40572079992853,2.794541331229507,1.2363559620531817e-09,1.2363559620531817e-09,True,2.220446049250313e-16,0.0,3,226,298227
3200,6,3220260710,160,8,61.103750499896705,22.115932799875736,2.7628837116126537,2.328607348611733e-09,2.328607348611733e-09,True,0.0,0.0,3,235,298862
3200,7,3220260711,160,8,62.1300209001638,22.84191399998963,2.720000648815682,6.029386989681029e-10,6.029386989681029e-10,True,0.0,0.0,3,238,302053
3200,8,3220260712,160,8,62.58345129992813,20.72104600002058,3.0202843669120747,1.247118464053898e-09,1.247118464053898e-09,True,0.0,0.0,3,231,266234
3200,9,3220260713,160,8,62.731783400056884,22.132923299912363,2.8343198297852177,3.713062912691356e-10,3.713062912691356e-10,True,0.0,0.0,3,237,301788
4200,0,4220260704,210,8,203.52997860009782,41.58769219997339,4.89399550283841,1.539360583446836e-10,1.539360583446836e-10,True,0.0,0.0,3,230,391379
4200,1,4220260705,210,8,146.87595889996737,41.874272499931976,3.5075465227534632,7.415715541636558e-10,7.415715541636558e-10,True,0.0,0.0,3,231,328786
4200,2,4220260706,210,8,177.32780260010622,36.116046299925074,4.9099450456866345,1.4455324715001439e-09,1.4455324715001439e-09,True,0.0,0.0,3,231,368887
4200,3,4220260707,210,8,138.11034330003895,31.34334379993379,4.406369153897699,1.248768033423886e-10,1.248768033423886e-10,True,1.1102230246251565e-16,0.0,3,235,346914
4200,4,4220260708,210,8,260.8857649001293,32.295496199978516,8.078085045812141,6.082172265831076e-11,6.082172265831076e-11,True,0.0,0.0,3,235,339233
4200,5,4220260709,210,8,151.57921510003507,29.97598039987497,5.056689158385869,3.976002305172699e-10,3.976002305172699e-10,True,0.0,0.0,3,237,396119
4200,6,4220260710,210,8,150.7791898001451,27.6549825000111,5.452152782959981,1.1966761470638687e-09,1.1966761470638687e-09,True,2.220446049250313e-16,0.0,3,213,279189
4200,7,4220260711,210,8,136.83490639994852,33.3528904998675,4.102640111521732,3.807716308923403e-09,3.807716308923403e-09,True,1.0880185641326534e-14,0.0,3,159,172074
4200,8,4220260712,210,8,116.8309476999566,55.99384779995307,2.0864961471723418,1.2629143009146304e-09,1.2629143009146304e-09,True,0.0,0.0,3,234,326216
4200,9,4220260713,210,8,194.97754450002685,36.24196709995158,5.379883050009373,2.434962231845361e-10,2.434962231845361e-10,True,0.0,0.0,3,230,316293
5000,0,5020260704,250,8,245.43465349986218,59.20236360002309,4.145690113963059,3.278433080566856e-12,3.278433080566856e-12,True,0.0,0.0,3,236,433522
5000,1,5020260705,250,8,309.5922042999882,60.58496480016038,5.110050081256607,1.8072544155645076e-10,1.8072544155645076e-10,True,0.0,0.0,3,236,440125
5000,2,5020260706,250,8,227.25031740008853,45.99433990009129,4.940832239221624,6.791624762580994e-10,6.791624762580994e-10,True,1.1102230246251565e-16,0.0,3,237,435226
5000,3,5020260707,250,8,158.7695569000207,40.54059290001169,3.9163106788202624,3.1819785695219593e-10,3.1819785695219593e-10,True,0.0,0.0,3,236,472895
5000,4,5020260708,250,8,169.80245659989305,32.22413220000453,5.26941906599642,3.157903938344475e-10,3.157903938344475e-10,True,0.0,0.0,3,230,354246
5000,5,5020260709,250,8,153.6627374999225,30.66330870008096,5.011290171028308,5.696034199864641e-10,5.696034199864641e-10,True,2.220446049250313e-16,0.0,3,199,372835
5000,6,5020260710,250,8,287.52818939997815,104.40160290012136,2.754059146726414,4.105988327118837e-10,4.105988327118837e-10,True,1.1102230246251565e-16,0.0,3,237,473866
5000,7,5020260711,250,8,319.1638567999471,71.5082762001548,4.463313531801458,6.019324483297339e-10,6.019324483297339e-10,True,1.1102230246251565e-16,0.0,3,230,375865
5000,8,5020260712,250,8,331.2309007998556,34.84613429987803,9.505527871452156,5.411086023698886e-10,5.411086023698886e-10,True,1.1324274851176597e-14,0.0,3,148,219599
5000,9,5020260713,250,8,204.13724380009808,44.04052700009197,4.635213465989446,1.9982043797384108e-11,1.9982043797384108e-11,True,0.0,0.0,3,236,394861
